log_id,task_id,engineer_id,log_date,hours_spent
92,16,26,2025-08-24,5.7
93,16,26,2025-08-26,6.66
94,16,26,2025-08-29,1.12
95,17,30,2025-07-25,2.8
96,17,30,2025-07-26,5.1
97,17,30,2025-07-27,2.44
98,19,48,2025-05-24,2.72
99,19,48,2025-05-26,3.56
100,19,48,2025-05-29,0.06
101,20,3,2025-11-26,5.18
102,20,3,2025-11-27,3.13
103,20,3,2025-11-29,2.03
104,20,3,2025-12-01,4.43
105,20,3,2025-12-03,6.39
106,20,3,2025-12-05,1.16
107,21,5,2025-05-21,6.04
108,21,5,2025-05-24,6.72
109,21,5,2025-05-26,6.99
110,21,5,2025-05-29,4.66
111,22,13,2025-06-03,5.63
112,22,13,2025-06-06,4.45
113,22,13,2025-06-07,1.05
114,22,13,2025-06-10,2.46
115,22,13,2025-06-13,1.03
116,22,13,2025-06-16,6.25
117,22,13,2025-06-19,6.8
118,22,13,2025-06-22,2.13
119,22,13,2025-06-25,3.49
120,22,13,2025-06-26,3.2
121,22,13,2025-06-29,5.17
122,22,13,2025-07-02,5.33
123,22,13,2025-07-05,1.68
124,22,13,2025-07-08,5.46
125,22,13,2025-07-10,5.24
126,22,13,2025-07-13,2.39
127,22,13,2025-07-14,4.72
128,22,13,2025-07-17,3.41
129,22,13,2025-07-18,5.58
130,22,13,2025-07-19,6.66
131,22,13,2025-07-21,1.6
132,22,13,2025-07-24,3.23
133,22,13,2025-07-25,0.85
134,23,15,2025-04-09,2.0
135,23,15,2025-04-12,3.51
136,23,15,2025-04-14,3.27
137,23,15,2025-04-17,6.72
138,23,15,2025-04-18,6.5
139,23,15,2025-04-20,6.49
140,23,15,2025-04-23,2.32
141,23,15,2025-04-25,5.11
142,23,15,2025-04-27,1.97
143,23,15,2025-04-30,2.03
144,23,15,2025-05-01,5.7
145,23,15,2025-05-03,3.91
146,23,15,2025-05-05,7.0
147,23,15,2025-05-07,6.45
148,24,26,2025-05-23,5.38
149,24,26,2025-05-25,4.55
150,24,26,2025-05-28,6.9
151,24,26,2025-05-30,6.74
152,24,26,2025-05-31,4.88
153,24,26,2025-06-02,3.57
154,24,26,2025-06-05,2.45
155,24,26,2025-06-06,3.64
156,24,26,2025-06-09,1.01
157,26,42,2025-06-01,2.29
158,26,42,2025-06-04,2.87
159,26,42,2025-06-06,5.93
160,26,42,2025-06-08,2.72
161,26,42,2025-06-10,3.49
162,26,42,2025-06-11,5.96
163,26,42,2025-06-14,2.39
164,26,42,2025-06-17,4.47
165,26,42,2025-06-18,3.21
166,26,42,2025-06-20,6.41
167,26,42,2025-06-22,4.94
168,26,42,2025-06-25,1.34
169,26,42,2025-06-27,1.04
170,26,42,2025-06-29,1.62
171,26,42,2025-07-01,2.61
172,26,42,2025-07-04,6.62
173,26,42,2025-07-07,2.63
174,26,42,2025-07-09,1.39
175,27,9,2025-08-13,4.25
176,27,9,2025-08-16,5.84
177,27,9,2025-08-17,5.24
178,27,9,2025-08-20,2.56
179,27,9,2025-08-23,4.58
180,27,9,2025-08-26,4.08
181,27,9,2025-08-29,6.78
182,27,9,2025-09-01,1.83
183,27,9,2025-09-04,5.33
184,27,9,2025-09-06,2.62
185,27,9,2025-09-09,6.65
186,27,9,2025-09-10,5.7
187,27,9,2025-09-11,2.09
188,27,9,2025-09-12,3.58
189,28,15,2025-07-27,2.75
190,28,15,2025-07-29,5.32
191,28,15,2025-07-31,1.89
192,29,2,2025-08-16,3.89
193,29,2,2025-08-19,1.85
194,29,2,2025-08-22,1.14
195,31,28,2025-09-11,4.62
196,31,28,2025-09-12,1.81
197,31,28,2025-09-15,5.57
198,31,28,2025-09-16,2.99
199,31,28,2025-09-17,1.18
200,31,28,2025-09-20,3.06
201,31,28,2025-09-23,3.8
202,31,28,2025-09-24,1.01
203,31,28,2025-09-26,4.95
204,31,28,2025-09-27,2.66
205,32,6,2025-04-08,1.16
206,32,6,2025-04-11,1.8
207,32,6,2025-04-14,4.11
208,32,6,2025-04-16,3.44
209,32,6,2025-04-17,5.83
210,32,6,2025-04-18,6.83
211,32,6,2025-04-21,2.14
212,32,6,2025-04-24,6.76
213,32,6,2025-04-26,2.35
214,32,6,2025-04-28,6.72
215,32,6,2025-04-30,2.34
216,32,6,2025-05-02,6.73
217,32,6,2025-05-03,5.34
218,32,6,2025-05-04,6.17
219,32,6,2025-05-06,4.97
220,33,19,2025-12-21,5.5
221,33,19,2025-12-24,4.57
222,33,19,2025-12-26,2.23
223,33,19,2025-12-27,3.21
224,33,19,2025-12-30,1.8
225,33,19,2026-01-02,1.23
226,33,19,2026-01-04,6.91
227,33,19,2026-01-06,4.93
228,33,19,2026-01-07,5.14
229,33,19,2026-01-10,2.26
230,33,19,2026-01-13,2.37
231,33,19,2026-01-14,2.1
232,33,19,2026-01-15,4.09
233,33,19,2026-01-17,3.07
234,33,19,2026-01-19,4.82
235,33,19,2026-01-20,1.17
236,33,19,2026-01-22,1.32
237,33,19,2026-01-23,6.51
238,33,19,2026-01-24,5.02
239,33,19,2026-01-25,6.93
240,33,19,2026-01-26,4.3
241,33,19,2026-01-27,5.8
242,33,19,2026-01-30,6.31
243,33,19,2026-02-01,6.93
244,33,19,2026-02-03,4.28
245,33,19,2026-02-04,2.0
246,33,19,2026-02-05,1.33
247,34,33,2025-11-27,3.14
248,34,33,2025-11-30,6.76
249,34,33,2025-12-01,4.89
250,34,33,2025-12-02,1.05
251,34,33,2025-12-04,6.15
252,34,33,2025-12-06,2.71
253,34,33,2025-12-08,3.73
254,34,33,2025-12-11,2.58
255,34,33,2025-12-12,4.25
256,34,33,2025-12-15,1.08
257,34,33,2025-12-16,1.45
258,34,33,2025-12-17,4.29
259,34,33,2025-12-20,6.83
260,34,33,2025-12-23,6.41
261,34,33,2025-12-26,4.1
262,34,33,2025-12-29,5.62
263,34,33,2025-12-31,0.96
264,35,26,2025-11-16,4.39
265,35,26,2025-11-19,3.26
266,35,26,2025-11-20,3.83
267,35,26,2025-11-23,5.28
268,35,26,2025-11-24,3.55
269,35,26,2025-11-25,4.8
270,36,36,2025-04-27,6.35
271,36,36,2025-04-28,6.92
272,36,36,2025-04-29,1.33
273,36,36,2025-05-01,3.43
274,37,43,2025-06-14,4.37
275,37,43,2025-06-17,3.11
276,37,43,2025-06-20,2.64
277,37,43,2025-06-21,2.48
278,37,43,2025-06-22,5.91
279,37,43,2025-06-23,2.21
280,38,41,2025-07-31,6.66
281,38,41,2025-08-01,2.47
282,38,41,2025-08-04,1.06
283,39,49,2025-11-25,3.08
284,39,49,2025-11-27,2.9
285,39,49,2025-11-30,3.73
286,39,49,2025-12-03,2.85
287,39,49,2025-12-06,6.05
288,39,49,2025-12-07,3.11
289,39,49,2025-12-09,2.2
290,39,49,2025-12-10,3.02
291,39,49,2025-12-12,1.54
292,39,49,2025-12-14,4.52
293,41,19,2025-11-13,4.07
294,41,19,2025-11-16,0.29
295,42,1,2025-08-02,1.54
296,42,1,2025-08-04,6.62
297,42,1,2025-08-06,4.17
298,42,1,2025-08-09,2.23
299,42,1,2025-08-11,5.37
300,42,1,2025-08-14,1.27
301,42,1,2025-08-17,2.02
302,43,12,2025-11-14,1.23
303,43,12,2025-11-15,2.99
304,43,12,2025-11-16,1.56
305,43,12,2025-11-18,1.44
306,43,12,2025-11-19,1.32
307,43,12,2025-11-21,6.45
308,43,12,2025-11-24,6.48
309,43,12,2025-11-25,1.26
310,44,11,2025-12-07,1.19
311,44,11,2025-12-09,4.14
312,44,11,2025-12-10,5.53
313,44,11,2025-12-12,1.3
314,45,36,2025-06-15,3.97
315,46,13,2025-05-24,2.44
316,46,13,2025-05-27,3.7
317,47,31,2025-05-26,1.79
318,47,31,2025-05-27,2.04
319,48,3,2025-05-18,1.22
320,48,3,2025-05-20,1.82
321,49,32,2025-11-25,3.68
322,49,32,2025-11-26,5.86
323,49,32,2025-11-27,1.53
324,52,2,2025-11-17,4.87
325,52,2,2025-11-18,2.17
326,52,2,2025-11-20,3.06
327,52,2,2025-11-21,2.4
328,52,2,2025-11-24,5.08
329,52,2,2025-11-27,5.97
330,52,2,2025-11-29,0.05
331,53,20,2025-06-09,6.35
332,53,20,2025-06-11,3.12
333,53,20,2025-06-14,0.65
334,54,28,2025-11-23,3.26
335,54,28,2025-11-25,1.77
336,54,28,2025-11-26,1.92
337,54,28,2025-11-27,6.18
338,54,28,2025-11-30,1.51
339,54,28,2025-12-03,6.76
340,54,28,2025-12-05,1.21
341,54,28,2025-12-06,3.44
342,54,28,2025-12-08,5.2
343,56,30,2025-07-29,1.18
344,56,30,2025-08-01,3.53
345,56,30,2025-08-04,2.01
346,56,30,2025-08-07,5.53
347,56,30,2025-08-09,5.6
348,56,30,2025-08-10,5.52
349,56,30,2025-08-11,1.36
350,56,30,2025-08-12,4.07
351,56,30,2025-08-15,1.38
352,57,28,2025-05-19,2.79
353,57,28,2025-05-22,2.2
354,58,27,2025-04-25,1.97
355,58,27,2025-04-28,5.34
356,58,27,2025-04-29,5.72
357,58,27,2025-05-02,2.87
358,58,27,2025-05-04,2.61
359,58,27,2025-05-06,5.15
360,58,27,2025-05-09,6.71
361,58,27,2025-05-10,3.83
362,58,27,2025-05-13,1.56
363,60,29,2025-07-19,6.58
364,60,29,2025-07-22,2.99
365,60,29,2025-07-23,1.18
366,60,29,2025-07-24,4.03
367,62,19,2025-06-02,5.89
368,62,19,2025-06-05,5.56
369,62,19,2025-06-07,1.43
370,62,19,2025-06-09,1.75
371,62,19,2025-06-12,0.49
372,63,2,2025-11-08,3.4
373,63,2,2025-11-09,3.22
374,63,2,2025-11-11,1.36
375,63,2,2025-11-12,3.91
376,63,2,2025-11-15,2.05
377,63,2,2025-11-17,5.13
378,63,2,2025-11-19,1.04
379,63,2,2025-11-22,1.83
380,63,2,2025-11-24,3.52
381,63,2,2025-11-27,5.37
382,63,2,2025-11-28,4.42
383,63,2,2025-11-29,2.2
384,63,2,2025-12-02,5.43
385,63,2,2025-12-03,3.19
386,63,2,2025-12-05,6.66
387,63,2,2025-12-06,4.47
388,63,2,2025-12-07,4.99
389,63,2,2025-12-09,6.54
390,63,2,2025-12-12,1.76
391,63,2,2025-12-14,2.97
392,63,2,2025-12-17,4.78
393,63,2,2025-12-18,4.16
394,63,2,2025-12-21,3.87
395,63,2,2025-12-23,2.56
396,63,2,2025-12-24,0.16
397,64,2,2025-05-25,4.75
398,64,2,2025-05-26,2.31
399,64,2,2025-05-27,6.5
400,64,2,2025-05-30,5.25
401,64,2,2025-06-01,2.3
402,64,2,2025-06-03,6.11
403,64,2,2025-06-05,6.2
404,65,37,2025-06-01,3.07
405,65,37,2025-06-02,5.0
406,65,37,2025-06-04,5.75
407,65,37,2025-06-05,6.83
408,65,37,2025-06-07,2.83
409,65,37,2025-06-09,5.08
410,66,34,2025-11-20,6.85
411,66,34,2025-11-21,3.02
412,66,34,2025-11-23,1.65
413,66,34,2025-11-26,6.79
414,66,34,2025-11-29,1.61
415,66,34,2025-11-30,6.07
416,66,34,2025-12-03,5.45
417,66,34,2025-12-04,3.58
418,66,34,2025-12-07,3.53
419,66,34,2025-12-08,0.51
420,68,37,2025-07-25,4.0
421,68,37,2025-07-28,6.48
422,68,37,2025-07-31,6.44
423,68,37,2025-08-02,2.22
424,68,37,2025-08-04,2.0
425,68,37,2025-08-05,6.05
426,68,37,2025-08-06,4.65
427,68,37,2025-08-07,5.83
428,68,37,2025-08-08,6.91
429,68,37,2025-08-10,2.36
430,68,37,2025-08-12,2.13
431,68,37,2025-08-14,0.28
432,69,3,2025-05-07,6.38
433,69,3,2025-05-08,2.32
434,69,3,2025-05-10,1.87
435,69,3,2025-05-13,3.8
436,69,3,2025-05-14,3.3
437,69,3,2025-05-17,6.02
438,69,3,2025-05-18,6.11
439,69,3,2025-05-21,2.34
440,69,3,2025-05-24,5.19
441,69,3,2025-05-25,2.68
442,69,3,2025-05-27,4.77
443,69,3,2025-05-28,5.47
444,69,3,2025-05-30,1.0
445,70,32,2025-12-16,3.4
446,70,32,2025-12-19,5.21
447,70,32,2025-12-21,6.96
448,70,32,2025-12-22,4.27
449,71,21,2025-09-19,6.96
450,71,21,2025-09-22,2.65
451,71,21,2025-09-23,6.97
452,71,21,2025-09-25,6.94
453,71,21,2025-09-27,3.61
454,71,21,2025-09-29,2.54
455,71,21,2025-10-01,1.48
456,71,21,2025-10-03,2.94
457,71,21,2025-10-05,6.48
458,71,21,2025-10-08,6.57
459,71,21,2025-10-11,5.19
460,71,21,2025-10-14,2.79
461,71,21,2025-10-16,5.62
462,71,21,2025-10-17,4.56
463,71,21,2025-10-19,1.08
464,72,2,2025-07-29,2.19
465,72,2,2025-08-01,5.07
466,72,2,2025-08-02,4.73
467,72,2,2025-08-03,2.12
468,72,2,2025-08-04,6.04
469,72,2,2025-08-07,3.61
470,72,2,2025-08-08,4.66
471,72,2,2025-08-10,6.48
472,72,2,2025-08-12,1.84
473,73,28,2025-12-11,2.91
474,73,28,2025-12-13,6.74
475,73,28,2025-12-15,1.45
476,73,28,2025-12-16,1.47
477,73,28,2025-12-18,4.05
478,73,28,2025-12-20,5.0
479,73,28,2025-12-22,0.17
480,74,3,2025-08-13,1.62
481,74,3,2025-08-16,1.58
482,74,3,2025-08-17,6.84
483,74,3,2025-08-19,3.24
484,74,3,2025-08-22,6.77
485,74,3,2025-08-24,6.14
486,74,3,2025-08-26,5.72
487,74,3,2025-08-28,3.16
488,74,3,2025-08-31,3.14
489,74,3,2025-09-01,4.48
490,74,3,2025-09-03,1.09
491,74,3,2025-09-05,4.79
492,74,3,2025-09-08,4.61
493,74,3,2025-09-11,5.7
494,74,3,2025-09-13,5.01
495,74,3,2025-09-16,0.02
496,75,25,2025-08-16,2.09
497,75,25,2025-08-18,4.99
498,75,25,2025-08-21,1.59
499,75,25,2025-08-24,5.76
500,75,25,2025-08-26,2.99
501,76,24,2025-12-19,2.69
502,76,24,2025-12-21,2.8
503,76,24,2025-12-22,2.81
504,76,24,2025-12-25,1.11
505,77,37,2025-11-25,2.85
506,77,37,2025-11-26,3.07
507,77,37,2025-11-28,5.2
508,77,37,2025-11-29,2.46
509,77,37,2025-12-02,4.8
510,77,37,2025-12-04,2.21
511,77,37,2025-12-06,5.25
512,77,37,2025-12-08,5.67
513,77,37,2025-12-10,3.35
514,78,34,2025-11-23,1.04
515,78,34,2025-11-24,2.95
516,78,34,2025-11-26,6.9
517,78,34,2025-11-28,6.06
518,78,34,2025-12-01,5.06
519,78,34,2025-12-04,6.52
520,78,34,2025-12-06,5.71
521,78,34,2025-12-07,6.05
522,78,34,2025-12-10,4.64
523,78,34,2025-12-11,5.64
524,78,34,2025-12-12,6.52
525,78,34,2025-12-13,3.51
526,78,34,2025-12-14,6.34
527,78,34,2025-12-16,1.47
528,78,34,2025-12-18,6.59
529,78,34,2025-12-21,2.15
530,79,3,2025-11-30,5.37
531,79,3,2025-12-02,3.22
532,80,19,2025-05-11,5.7
533,80,19,2025-05-12,4.75
534,80,19,2025-05-13,6.38
535,80,19,2025-05-15,4.68
536,80,19,2025-05-16,4.05
537,80,19,2025-05-17,0.12
538,81,49,2025-09-13,5.98
539,81,49,2025-09-16,1.26
540,81,49,2025-09-17,3.99
541,81,49,2025-09-19,5.1
542,81,49,2025-09-21,3.33
543,83,34,2025-11-08,1.86
544,83,34,2025-11-11,3.97
545,83,34,2025-11-13,4.84
546,83,34,2025-11-15,4.54
547,83,34,2025-11-16,4.71
548,83,34,2025-11-18,2.29
549,83,34,2025-11-21,4.25
550,83,34,2025-11-23,2.51
551,84,30,2025-08-03,3.49
552,84,30,2025-08-05,2.82
553,84,30,2025-08-06,2.7
554,84,30,2025-08-09,5.72
555,84,30,2025-08-12,2.11
556,84,30,2025-08-13,3.71
557,84,30,2025-08-15,2.01
558,84,30,2025-08-16,2.92
559,85,17,2025-07-20,2.37
560,85,17,2025-07-23,3.21
561,85,17,2025-07-24,5.25
562,85,17,2025-07-25,1.83
563,85,17,2025-07-26,3.76
564,85,17,2025-07-28,2.26
565,85,17,2025-07-29,3.36
566,85,17,2025-07-31,1.76
567,85,17,2025-08-03,4.99
568,85,17,2025-08-04,5.78
569,85,17,2025-08-06,3.06
570,86,4,2025-05-26,2.42
571,86,4,2025-05-28,6.86
572,86,4,2025-05-31,5.96
573,86,4,2025-06-03,2.67
574,86,4,2025-06-04,2.23
575,86,4,2025-06-07,1.25
576,87,45,2025-06-01,3.46
577,87,45,2025-06-02,4.65
578,87,45,2025-06-03,5.21
579,87,45,2025-06-05,5.33
580,87,45,2025-06-07,6.59
581,87,45,2025-06-08,1.8
582,87,45,2025-06-11,1.12
583,87,45,2025-06-14,2.06
584,87,45,2025-06-16,5.2
585,87,45,2025-06-18,2.08
586,87,45,2025-06-20,0.11
587,88,36,2025-05-22,4.02
588,88,36,2025-05-25,4.0
589,88,36,2025-05-26,2.19
590,88,36,2025-05-28,1.52
591,88,36,2025-05-29,1.12
592,88,36,2025-05-30,6.3
593,88,36,2025-05-31,3.54
594,88,36,2025-06-03,4.26
595,88,36,2025-06-06,4.18
596,88,36,2025-06-07,4.53
597,88,36,2025-06-09,1.71
598,88,36,2025-06-10,4.12
599,88,36,2025-06-13,4.04
600,88,36,2025-06-15,6.04
601,88,36,2025-06-18,4.5
602,88,36,2025-06-21,5.49
603,88,36,2025-06-23,5.19
604,88,36,2025-06-25,2.35
605,88,36,2025-06-26,1.62
606,91,31,2025-11-16,2.97
607,91,31,2025-11-17,3.19
608,91,31,2025-11-18,5.67
609,91,31,2025-11-20,4.44
610,91,31,2025-11-23,3.94
611,91,31,2025-11-24,5.2
612,91,31,2025-11-25,4.14
613,91,31,2025-11-28,6.28
614,91,31,2025-11-29,1.6
615,91,31,2025-12-02,5.71
616,91,31,2025-12-03,6.51
617,91,31,2025-12-06,2.45
618,91,31,2025-12-09,0.59
619,92,25,2025-08-12,5.32
620,92,25,2025-08-14,2.38
621,93,48,2025-05-19,5.09
622,93,48,2025-05-22,6.03
623,93,48,2025-05-24,0.25
624,94,50,2025-11-17,3.83
625,94,50,2025-11-20,2.44
626,94,50,2025-11-22,4.91
627,94,50,2025-11-23,1.76
628,94,50,2025-11-25,0.7
629,95,15,2025-10-30,4.57
630,95,15,2025-10-31,3.07
631,95,15,2025-11-01,1.15
632,95,15,2025-11-04,3.22
633,95,15,2025-11-05,6.18
634,95,15,2025-11-07,1.19
635,95,15,2025-11-09,1.64
636,95,15,2025-11-12,6.15
637,95,15,2025-11-15,1.59
638,95,15,2025-11-17,3.04
639,95,15,2025-11-18,3.54
640,95,15,2025-11-19,3.28
641,95,15,2025-11-22,2.99
642,95,15,2025-11-24,4.47
643,95,15,2025-11-25,2.46
644,95,15,2025-11-26,4.42
645,95,15,2025-11-28,4.39
646,95,15,2025-11-30,5.72
647,95,15,2025-12-03,4.55
648,95,15,2025-12-06,1.22
649,95,15,2025-12-09,3.67
650,95,15,2025-12-11,1.59
651,96,30,2025-05-29,2.8
652,97,14,2025-11-22,5.7
653,97,14,2025-11-25,1.79
654,97,14,2025-11-28,6.32
655,97,14,2025-12-01,1.41
656,97,14,2025-12-04,1.73
657,97,14,2025-12-07,6.43
658,97,14,2025-12-10,1.09
659,97,14,2025-12-13,4.83
660,97,14,2025-12-14,1.77
661,97,14,2025-12-15,0.72
662,98,38,2025-06-07,2.52
663,98,38,2025-06-10,5.29
664,98,38,2025-06-13,5.06
665,98,38,2025-06-16,2.26
666,98,38,2025-06-17,7.0
667,98,38,2025-06-19,4.29
668,98,38,2025-06-20,5.97
669,98,38,2025-06-22,2.27
670,98,38,2025-06-23,5.87
671,98,38,2025-06-25,4.01
672,98,38,2025-06-28,6.24
673,98,38,2025-07-01,6.08
674,98,38,2025-07-04,4.44
675,98,38,2025-07-07,5.65
676,98,38,2025-07-09,1.17
677,98,38,2025-07-11,6.72
678,98,38,2025-07-12,1.08
679,98,38,2025-07-14,4.67
680,98,38,2025-07-17,6.43
681,98,38,2025-07-19,0.5
682,99,3,2025-05-02,3.42
683,99,3,2025-05-04,2.01
684,99,3,2025-05-07,6.71
685,99,3,2025-05-10,3.19
686,99,3,2025-05-12,6.64
687,99,3,2025-05-13,0.68
688,100,9,2025-06-12,2.69
689,100,9,2025-06-13,3.32
690,100,9,2025-06-15,4.44
691,100,9,2025-06-17,2.73
692,100,9,2025-06-20,4.81
693,100,9,2025-06-22,6.66
694,100,9,2025-06-23,5.45
695,100,9,2025-06-24,4.31
696,100,9,2025-06-26,3.28
697,100,9,2025-06-29,4.4
698,100,9,2025-07-01,4.74
699,100,9,2025-07-03,3.04
700,100,9,2025-07-06,1.8
701,100,9,2025-07-08,5.16
702,102,21,2025-04-21,2.62
703,102,21,2025-04-22,2.41
704,103,11,2025-09-30,5.49
705,103,11,2025-10-01,0.48
706,104,10,2025-11-20,2.79
707,104,10,2025-11-23,5.67
708,104,10,2025-11-26,1.68
709,104,10,2025-11-27,1.55
710,105,34,2025-04-23,1.86
711,105,34,2025-04-26,2.24
712,105,34,2025-04-27,2.77
713,105,34,2025-04-30,1.43
714,105,34,2025-05-01,6.85
715,105,34,2025-05-03,6.35
716,105,34,2025-05-06,3.46
717,105,34,2025-05-08,3.58
718,106,20,2025-09-28,1.26
719,106,20,2025-09-30,5.0
720,106,20,2025-10-02,2.99
721,106,20,2025-10-05,2.56
722,106,20,2025-10-07,5.0
723,106,20,2025-10-08,4.53
724,107,1,2025-09-27,4.05
725,107,1,2025-09-28,5.2
726,107,1,2025-09-30,1.26
727,107,1,2025-10-01,3.73
728,107,1,2025-10-03,2.0
729,107,1,2025-10-04,6.81
730,107,1,2025-10-06,1.33
731,107,1,2025-10-09,6.47
732,107,1,2025-10-12,5.97
733,107,1,2025-10-14,6.85
734,107,1,2025-10-17,2.48
735,107,1,2025-10-19,2.34
736,107,1,2025-10-21,6.34
737,107,1,2025-10-23,1.14
738,107,1,2025-10-25,6.4
739,107,1,2025-10-28,5.36
740,107,1,2025-10-30,3.94
741,107,1,2025-11-01,6.18
742,107,1,2025-11-02,4.54
743,107,1,2025-11-04,2.23
744,107,1,2025-11-07,6.86
745,107,1,2025-11-08,1.58
746,107,1,2025-11-11,6.54
747,107,1,2025-11-13,3.44
748,107,1,2025-11-16,1.29
749,107,1,2025-11-17,0.41
750,108,27,2025-05-29,2.67
751,108,27,2025-05-31,4.26
752,108,27,2025-06-02,3.92
753,108,27,2025-06-04,6.14
754,108,27,2025-06-07,4.99
755,108,27,2025-06-08,3.02
756,108,27,2025-06-11,6.43
757,108,27,2025-06-14,2.72
758,109,34,2025-11-26,5.71
759,109,34,2025-11-28,1.69
760,109,34,2025-12-01,5.61
761,109,34,2025-12-03,1.98
762,109,34,2025-12-04,3.69
763,109,34,2025-12-07,4.41
764,109,34,2025-12-08,5.17
765,110,12,2025-06-13,3.28
766,110,12,2025-06-15,2.47
767,110,12,2025-06-16,1.71
768,110,12,2025-06-18,2.34
769,110,12,2025-06-20,5.14
770,110,12,2025-06-22,1.22
771,110,12,2025-06-25,2.77
772,110,12,2025-06-27,2.06
773,110,12,2025-06-29,4.4
774,110,12,2025-07-02,1.21
775,110,12,2025-07-05,1.2
776,110,12,2025-07-08,4.14
777,110,12,2025-07-11,4.69
778,110,12,2025-07-12,4.55
779,110,12,2025-07-15,4.22
780,110,12,2025-07-18,4.69
781,111,37,2025-11-16,6.25
782,111,37,2025-11-18,1.74
783,111,37,2025-11-19,3.97
784,112,7,2025-12-11,4.86
785,114,10,2025-05-30,3.4
786,114,10,2025-06-01,3.63
787,114,10,2025-06-04,3.5
788,114,10,2025-06-07,4.81
789,115,34,2025-12-06,5.01
790,115,34,2025-12-08,4.41
791,115,34,2025-12-10,3.87
792,115,34,2025-12-13,1.1
793,115,34,2025-12-16,6.13
794,115,34,2025-12-18,4.58
795,115,34,2025-12-21,0.41
796,116,7,2025-10-05,5.59
797,116,7,2025-10-06,1.52
798,116,7,2025-10-09,3.44
799,116,7,2025-10-10,4.16
800,116,7,2025-10-12,1.07
801,116,7,2025-10-14,1.32
802,118,18,2025-08-12,2.72
803,118,18,2025-08-15,3.41
804,118,18,2025-08-18,1.55
805,118,18,2025-08-21,3.07
806,118,18,2025-08-23,5.16
807,118,18,2025-08-25,6.29
808,118,18,2025-08-27,3.8
809,118,18,2025-08-28,2.93
810,118,18,2025-08-29,6.85
811,118,18,2025-08-31,0.08
812,120,3,2025-11-15,1.69
813,120,3,2025-11-16,5.96
814,120,3,2025-11-17,5.76
815,120,3,2025-11-20,2.96
816,120,3,2025-11-21,5.67
817,120,3,2025-11-24,1.71
818,120,3,2025-11-26,0.28
819,121,1,2025-05-23,5.06
820,123,48,2025-11-14,1.84
